n,iter,rec
100,2.625e-06,2.542e-06
1000,1.2208e-05,1.4875e-05
5000,4.05e-05,6.0542e-05
10000,8.5584e-05,0.000110208
20000,0.00019875,0.000233709
40000,0.00035225,0.000483333
80000,0.000828209,-1
100000,0.000926625,-1
